origin,dest,hour,dow,p80,p90,p95,obs_count
PAD,HXX,20,3,0.0,0.0,0.0,4
PAD,HXX,20,4,2.8,3.4,3.7,4
PAD,HXX,20,5,1.6,2.8,3.4,4
PAD,HXX,20,6,4.6,5.8,6.4,3
VIC,GTW,6,5,2.2,2.6,2.8,3
VIC,GTW,6,6,5.6,6.3,6.65,2
VIC,GTW,7,0,1.8,2.9,3.45,12
VIC,GTW,7,1,2.0,2.7,3.0,24
VIC,GTW,7,2,4.0,5.0,6.0,21
VIC,GTW,7,3,2.0,2.3,3.15,18
VIC,GTW,7,4,2.0,2.3,3.15,18
VIC,GTW,7,5,4.0,12.7,33.15,18
VIC,GTW,7,6,1.4,2.2,2.6,9
VIC,GTW,8,0,3.0,5.0,6.0,16
VIC,GTW,8,1,4.0,5.1,9.85,30
VIC,GTW,8,2,5.0,7.6,11.6,28
VIC,GTW,8,3,5.4,7.4,8.85,24
VIC,GTW,8,4,2.0,3.0,4.0,21
VIC,GTW,8,5,4.8,10.7,11.95,22
VIC,GTW,8,6,1.8,2.0,2.0,12
VIC,GTW,9,0,5.2,6.0,6.0,10
VIC,GTW,9,1,7.6,11.1,12.25,20
VIC,GTW,9,2,8.2,13.3,16.55,20
VIC,GTW,9,3,9.2,11.2,12.3,15
VIC,GTW,9,4,3.0,3.0,3.5,11
VIC,GTW,9,5,4.6,8.2,9.8,13
VIC,GTW,9,6,2.6,5.0,5.0,10
VIC,GTW,10,2,7.6,8.6,9.3,8
VIC,GTW,11,2,6.8,8.6,9.3,8
VIC,GTW,12,2,1.0,1.3,1.65,8
VIC,GTW,13,2,5.6,6.9,7.95,8
VIC,GTW,14,2,11.2,15.2,16.6,8
VIC,GTW,15,2,2.6,3.6,4.3,8
VIC,GTW,16,2,2.2,2.6,2.8,5
